x y
807.4526647937249 504.4660703121785
709.4620881705605 1522.0264632593223
502.98290838948924 386.5283739316616
1105.5899554609687 1015.2459628080707
506.95171646744774 399.1465007816376
696.6460531531075 1487.4879557275376
600.8176350137385 585.987503858035
508.02031834894746 393.26199483508475
796.3619618076013 500.9656413437088
598.541305098695 611.6156547194722
1393.5190346057677 1107.873339179962
791.4906419418918 489.13400608870205
802.9373681607282 509.81441889075046
1390.5682779382828 1099.4798151186992
597.0801958717365 590.1199815220448
792.583613014481 487.71612009770337
1097.8170461790078 994.6543119869215
798.4895972406886 483.2203599376935
1094.1627482300714 1002.3276838619805
691.910378199961 1505.1806948998528
494.65679743450426 400.1766897372436
517.6086023651036 396.5149342860706
716.2431292761231 1500.0191156945493
1381.1611440798986 1114.1315216046623
686.7285091308227 1498.4098629287319
402.9693885593309 297.9908314030524
1392.9861527518146 1088.750984366663
1112.4717576762587 997.4931897005038
800.5102417534705 490.118639699915
592.3890423498268 604.0432762622673
1095.1649009507432 998.1975602588138
809.2391317524288 489.99041058249406
708.1375499183462 1494.6606049851034
1085.4837117125621 993.6370457793099
801.330366521232 505.58894201979285
491.5404211043312 406.81081711654133
495.04193186682767 401.0512909873993
399.12885136078427 288.5154789919941
489.0323090342754 403.302702026975
700.5159382931986 1513.4272436099016
597.0671286878585 600.6730246766882
488.3212952338767 392.58173843329814
392.97090306473024 309.0248920234335
391.81242775582234 298.4622122850597
707.4492796404703 1484.2741869874326
405.07394833780967 305.6077192030451
1409.912076689059 1104.7650747583266
607.3020232542556 606.2351647628378
600.7734749772318 595.4518048352385
1394.1385583710974 1082.1624558427766
402.0242410868669 284.2951186420558
508.6119407392043 389.18461699879055
410.5437293813744 302.87027274552975
390.19084145432674 292.6291849228835
713.3575713887083 1507.344863321365
799.214815276315 495.0715295203105
1391.6484349962525 1090.0735163214881
1402.4192577933527 1103.398751414077
1091.491337186953 989.728725086791
581.1665063627081 606.4322424110114
1101.4570322422305 1003.6649246458962
591.7837921145214 595.7443099714872
394.3279316245165 295.5462729622721
695.9987744338258 1494.479048900349
1108.7087232224933 996.2808896650106
1414.03055846255 1094.8734589875075
593.1155549851483 597.2597808515751
1395.7004739165495 1105.29509999321
397.73519755090456 294.88094423109897
1104.601211073125 993.2513630061757
